OTU	16Sgene	genome	numberGenes	totalGeneLength
Consensus789	ref|NC_016627|:4884776-4886142|16S	Clostridium_clariflavum_DSM_19732_uid82345	90	34255
Consensus79	ref|NC_007519|:3537225-3538754|16S	Desulfovibrio_alaskensis_G20_uid57941	81	24326
Consensus790	ref|NC_021044|:489815-491335|16S	Eubacterium_rectale_uid197162	55	8680
Consensus791	ref|NC_014616|:2128161-2129693|16S	Bifidobacterium_bifidum_S17_uid59545	62	18162
Consensus792	ref|NC_014323|:5431893-5433419|16S	Herbaspirillum_seropedicae_SmR1_uid50427	64	16689
Consensus793	ref|NC_009328|:1312223-1313773|16S	Geobacillus_thermodenitrificans_NG80_2_uid58829	117	52636
Consensus794	ref|NC_021047|:235702-238322|16S	Clostridium_cf__saccharolyticum_K10_uid197201	51	9209
Consensus795	ref|NC_013315|:3947905-3949529|16S	Clostridium_difficile_CD196_uid41017	111	53056
Consensus796	ref|NC_021014|:2702614-2706143|16S	Ruminococcus_uid197156	53	13115
Consensus797	ref|NC_016077|:391435-392923|16S	Acidaminococcus_intestini_RyC_MR95_uid74445	61	15538
Consensus798	ref|NC_004663|:4983424-4984906|16S	Bacteroides_thetaiotaomicron_VPI_5482_uid62913	86	26205
Consensus799	ref|NC_011751|:4697139-4698680|ribosomal	Escherichia_coli_UMN026_uid62981	194	51046
Consensus8	ref|NC_004663|:4983424-4984906|16S	Bacteroides_thetaiotaomicron_VPI_5482_uid62913	86	26205
Consensus80	ref|NC_015964|:2078736-2080288|16S	Haemophilus_parainfluenzae_T3T1_uid72801	69	31563
Consensus800	ref|NC_009614|:4743140-4744649|16S	Bacteroides_vulgatus_ATCC_8482_uid58253	106	37764
Consensus801	ref|NC_021047|:235702-238322|16S	Clostridium_cf__saccharolyticum_K10_uid197201	51	9209
Consensus802	ref|NC_015873|:2473031-2474582|16S-rRNA|	Megasphaera_elsdenii_DSM_20460_uid71135	85	36872
Consensus803	ref|NC_021044|:489815-491335|16S	Eubacterium_rectale_uid197162	55	8680
Consensus804	ref|NC_004663|:4983424-4984906|16S	Bacteroides_thetaiotaomicron_VPI_5482_uid62913	86	26205
Consensus805	ref|NC_004663|:4983424-4984906|16S	Bacteroides_thetaiotaomicron_VPI_5482_uid62913	86	26205
Consensus806	ref|NC_016048|:1864519-1866052|16S	Oscillibacter_valericigenes_Sjm18_20_uid73895	72	20906
Consensus807	ref|NC_021281|:2155685-2157191|16S	Fusobacterium_4_8_uid205051	61	26223
Consensus808	ref|NC_014371|:962840-964317|16S	Prevotella_melaninogenica_ATCC_25845_uid51377	66	22498
Consensus809	ref|NC_021015|:159-1677|16S	_Ruminococcus__torques_uid197166	50	8408
Consensus81	ref|NC_021020|:589522-591540|16S	Faecalibacterium_prausnitzii_uid197157	70	10418
Consensus810	ref|NC_021020|:589522-591540|16S	Faecalibacterium_prausnitzii_uid197157	70	10418
Consensus811	ref|NC_013315|:3947905-3949529|16S	Clostridium_difficile_CD196_uid41017	111	53056
Consensus812	ref|NC_021039|:65921-67414|16S	Ruminococcus_champanellensis_18P13_uid197169	48	8015
Consensus813	ref|NC_011898|:4057389-4057468,4055812-4057250|16S	Clostridium_cellulolyticum_H10_uid58709	88	41569
Consensus814	ref|NC_021500|:4001483-4002948|16S	Enterobacter_R4_368_uid208672	114	42383
Consensus815	ref|NC_017068|:2872430-2872509,2870852-2872338|16S	Selenomonas_ruminantium_lactilytica_TAM6421_uid157247	97	38935
Consensus816	ref|NC_021020|:589522-591540|16S	Faecalibacterium_prausnitzii_uid197157	70	10418
Consensus817	ref|NC_021047|:235702-238322|16S	Clostridium_cf__saccharolyticum_K10_uid197201	51	9209
Consensus818	ref|NC_009614|:4743140-4744649|16S	Bacteroides_vulgatus_ATCC_8482_uid58253	106	37764
Consensus819	ref|NC_015164|:4225341-4226859|16S	Bacteroides_salanitronis_DSM_18170_uid63269	101	33719
Consensus82	ref|NC_004663|:4983424-4984906|16S	Bacteroides_thetaiotaomicron_VPI_5482_uid62913	86	26205
Consensus820	ref|NC_009614|:4743140-4744649|16S	Bacteroides_vulgatus_ATCC_8482_uid58253	106	37764
Consensus821	ref|NC_016077|:391435-392923|16S	Acidaminococcus_intestini_RyC_MR95_uid74445	61	15538
Consensus822	ref|NC_015977|:3095887-3097421|16S	Roseburia_hominis_A2_183_uid73419	70	22540
Consensus823	ref|NC_015160|:2531255-2532766|16S	Odoribacter_splanchnicus_DSM_20712_uid63397	74	23099
Consensus824	ref|NC_009012|:3665491-3667011|16S	Clostridium_thermocellum_ATCC_27405_uid57917	71	23381
Consensus825	ref|NC_019745|:4840136-4841614|16S	Gloeocapsa_PCC_7428_uid183112	50	12818
Consensus826	ref|NC_021020|:589522-591540|16S	Faecalibacterium_prausnitzii_uid197157	70	10418
Consensus827	ref|NC_021039|:65921-67414|16S	Ruminococcus_champanellensis_18P13_uid197169	48	8015
Consensus828	ref|NC_015964|:2078736-2080288|16S	Haemophilus_parainfluenzae_T3T1_uid72801	69	31563
Consensus829	ref|NC_010001|:4184940-4186462|16S	Clostridium_phytofermentans_ISDg_uid58519	89	42061
Consensus83	ref|NC_004663|:4983424-4984906|16S	Bacteroides_thetaiotaomicron_VPI_5482_uid62913	86	26205
Consensus830	ref|NC_004663|:4983424-4984906|16S	Bacteroides_thetaiotaomicron_VPI_5482_uid62913	86	26205
Consensus831	ref|NC_006449|:1614460-1616014|16S	Streptococcus_thermophilus_CNRZ1066_uid58221	85	32536
Consensus832	ref|NC_017584|:3810688-3812190|16S	Rhodospirillum_rubrum_F11_uid162149	67	21772
Consensus833	ref|NC_012778|:2029863-2031381|16S	Eubacterium_eligens_ATCC_27750_uid59171	65	26868
Consensus834	ref|NC_015964|:2078736-2080288|16S	Haemophilus_parainfluenzae_T3T1_uid72801	69	31563
Consensus835	ref|NC_021047|:235702-238322|16S	Clostridium_cf__saccharolyticum_K10_uid197201	51	9209
Consensus836	ref|NC_021047|:235702-238322|16S	Clostridium_cf__saccharolyticum_K10_uid197201	51	9209
Consensus837	ref|NC_021022|:3224206-3225524|16S	_Ruminococcus__obeum_uid197165	55	5797
Consensus838	ref|NC_011751|:4697139-4698680|ribosomal	Escherichia_coli_UMN026_uid62981	194	51046
Consensus839	ref|NC_021040|:348381-351031|16S	Roseburia_intestinalis_uid197164	56	11339
Consensus84	ref|NC_013315|:3947905-3949529|16S	Clostridium_difficile_CD196_uid41017	111	53056
Consensus840	ref|NC_009614|:4743140-4744649|16S	Bacteroides_vulgatus_ATCC_8482_uid58253	106	37764
Consensus841	ref|NC_021281|:2155685-2157191|16S	Fusobacterium_4_8_uid205051	61	26223
Consensus842	ref|NC_015977|:3095887-3097421|16S	Roseburia_hominis_A2_183_uid73419	70	22540
Consensus843	ref|NC_021013|:297741-300852|16S	Ruminococcus_bromii_uid197158	41	9127
Consensus844	ref|NC_021020|:589522-591540|16S	Faecalibacterium_prausnitzii_uid197157	70	10418
Consensus845	ref|NC_017297|:3856160-3857659|16S	Clostridium_botulinum_F_230613_uid159513	93	45825
Consensus846	ref|NC_021047|:235702-238322|16S	Clostridium_cf__saccharolyticum_K10_uid197201	51	9209
Consensus847	ref|NC_021020|:589522-591540|16S	Faecalibacterium_prausnitzii_uid197157	70	10418
Consensus848	ref|NC_011898|:4057389-4057468,4055812-4057250|16S	Clostridium_cellulolyticum_H10_uid58709	88	41569
Consensus849	ref|NC_015164|:4225341-4226859|16S	Bacteroides_salanitronis_DSM_18170_uid63269	101	33719
Consensus85	ref|NC_017481|:1818075-1819591|16S	Lactobacillus_salivarius_CECT_5713_uid162005	120	60114
Consensus850	ref|NC_004663|:4983424-4984906|16S	Bacteroides_thetaiotaomicron_VPI_5482_uid62913	86	26205
Consensus851	ref|NC_014833|:3675459-3676957|16S	Ruminococcus_albus_7_uid51721	90	24529
Consensus852	ref|NC_009614|:4743140-4744649|16S	Bacteroides_vulgatus_ATCC_8482_uid58253	106	37764
Consensus853	ref|NC_021039|:65921-67414|16S	Ruminococcus_champanellensis_18P13_uid197169	48	8015
Consensus854	ref|NC_015873|:2473031-2474582|16S-rRNA|	Megasphaera_elsdenii_DSM_20460_uid71135	85	36872
Consensus855	ref|NC_016077|:391435-392923|16S	Acidaminococcus_intestini_RyC_MR95_uid74445	61	15538
Consensus856	ref|NC_021044|:489815-491335|16S	Eubacterium_rectale_uid197162	55	8680
Consensus857	ref|NC_016630|:924199-925721|16S	Filifactor_alocis_ATCC_35896_uid46625	59	21866
Consensus858	ref|NC_021020|:589522-591540|16S	Faecalibacterium_prausnitzii_uid197157	70	10418
Consensus859	ref|NC_021047|:235702-238322|16S	Clostridium_cf__saccharolyticum_K10_uid197201	51	9209
Consensus86	ref|NC_009614|:4743140-4744649|16S	Bacteroides_vulgatus_ATCC_8482_uid58253	106	37764
Consensus860	ref|NC_012778|:2029863-2031381|16S	Eubacterium_eligens_ATCC_27750_uid59171	65	26868
Consensus861	ref|NC_021014|:2702614-2706143|16S	Ruminococcus_uid197156	53	13115
Consensus862	ref|NC_016627|:4884776-4886142|16S	Clostridium_clariflavum_DSM_19732_uid82345	90	34255
Consensus863	ref|NC_017068|:2872430-2872509,2870852-2872338|16S	Selenomonas_ruminantium_lactilytica_TAM6421_uid157247	97	38935
Consensus864	ref|NC_021044|:489815-491335|16S	Eubacterium_rectale_uid197162	55	8680
Consensus865	ref|NC_021044|:489815-491335|16S	Eubacterium_rectale_uid197162	55	8680
Consensus866	ref|NC_014323|:5431893-5433419|16S	Herbaspirillum_seropedicae_SmR1_uid50427	64	16689
Consensus867	ref|NC_021047|:235702-238322|16S	Clostridium_cf__saccharolyticum_K10_uid197201	51	9209
Consensus87	ref|NC_014371|:962840-964317|16S	Prevotella_melaninogenica_ATCC_25845_uid51377	66	22498
Consensus88	ref|NC_015311|:2480776-2482250|16S	Prevotella_denticola_F0289_uid65091	67	22859
Consensus89	ref|NC_021022|:3224206-3225524|16S	_Ruminococcus__obeum_uid197165	55	5797
Consensus9	ref|NC_004663|:4983424-4984906|16S	Bacteroides_thetaiotaomicron_VPI_5482_uid62913	86	26205
Consensus90	ref|NC_004663|:4983424-4984906|16S	Bacteroides_thetaiotaomicron_VPI_5482_uid62913	86	26205
Consensus91	ref|NC_012778|:872242-873760|16S	Eubacterium_eligens_ATCC_27750_uid59171	65	26868
Consensus92	ref|NC_009615|:4787729-4789225|16S	Parabacteroides_distasonis_ATCC_8503_uid58301	104	37085
Consensus93	ref|NC_013520|:722770-724320|16S	Veillonella_parvula_DSM_2008_uid41927	64	23068
Consensus94	ref|NC_021044|:489815-491335|16S	Eubacterium_rectale_uid197162	55	8680
Consensus95	ref|NC_014833|:3675459-3676957|16S	Ruminococcus_albus_7_uid51721	90	24529
Consensus96	ref|NC_018011|:2181216-2182629|16S	Alistipes_finegoldii_DSM_17242_uid168180	68	13954
Consensus97	ref|NC_015571|:1277510-1279031|16S	Porphyromonas_gingivalis_TDC60_uid67407	67	23005
Consensus98	ref|NC_021044|:489815-491335|16S	Eubacterium_rectale_uid197162	55	8680
Consensus99	ref|NC_020134|:2961708-2963228|16S	Clostridium_stercorarium_DSM_8532_uid186819	57	17417
